用户名,等级,评论内容,日期,点赞数,页数,parent_id,rpid,oid,pagination_str
真真真真闲云,3,"我一直认为一切对社会有危害性的生物都应该被清除，野生老虎有危害性,所以当街射杀老虎保护人民安全无罪。我一直不理解为什么要给精神病患者网开一面，他们在犯病比正常的人更危险，他们没有辨识能力，也没有控制自己的能力，这和那些有时作恶的坏人有什么区别。一个人拿枪指着你,你可以求饶，一只猴子拿枪指着你,你只能赌他的枪里没有子弹。坏人杀人还有原因，精神病人犯病时可能见人就杀(就像视频中的杜某)他们难道不应该枪毙？为啥对他们法开一面？(感觉我说的有点偏激，有没有人纠正我一下[脸红]",2025-11-20 20:17:12,102,1,0,281145794737,115579969085266,CAEiAggC
念不出的人是傻呱,3,"因为既然是病的话,是能治的,也就是能够让他不再有你所谓的危险性",2025-11-21 17:46:03,3,1,281145794737,283090816304,115579969085266,CAEiAggC
Slave_of_Rita,5,如果我们如此對待精神病人，只不过是污名化他们的疾病，令他们更害怕求醫，病情更会惡化。而且如果一个人因为不可抗力而犯罪，我们能否視死刑为最終手段？如果如此，我们為需要解决不可抗力嗎？,2025-11-22 00:53:48,22,1,281145794737,283131609696,115579969085266,CAEiAggC
zhuojunyan,5,跟我想的一样，犯病的时候大脑思维失控，理论上已经不算人。甚至因为人形外观极强迷惑性、强大的工具使用能力，比老虎都危险的多。,2025-11-22 07:12:30,13,1,281145794737,281267397105,115579969085266,CAEiAggC
路西菲尔Lucife,6,"[微笑]精神病人一般没那么容易想攻击别人。
真到就他开始攻击的时候，先想想被攻击做了啥吧。
像我的病情一激动就抽搐嘴吐沫子
而且这个病又不是说一出生就会有。
后天环境对人的影响也很大。",2025-11-22 10:00:36,9,1,281145794737,283150760736,115579969085266,CAEiAggC
さよなら絵梨,6,不人道，不把精神病人当人，现有的道德体系就会崩坏，跟这比起来精神病人的社会危害性就显得无足轻重了,2025-11-22 10:08:51,17,1,281145794737,283151412224,115579969085266,CAEiAggC
嗦泥磕,6,"我没理解你说的是没犯病前就得灭掉还是犯病之后杀了人得判死刑 既然你说到想法偏激那我跟你讨论前者

精神疾病太多种类 多数没攻击性 而且发病伤人概率本来就小 多数都是喃喃自语发呆把自己困起来等等 和你说的野生老虎完全不是一回事 老虎是几乎100%伤人 

想象亲近的人受了什么打击或者突然变得像精神病 吃药就能稳定 却有个规定都要灭掉精神病人 你会窝藏还是送去医院？",2025-11-23 02:06:44,7,1,281145794737,283238451952,115579969085266,CAEiAggC
失踪の呆毛,6,"精神病人在作恶时如果没有自我正常认知，如果这样也死刑，不仅不人性，没病人敢承认自己有精神病，社会对病人将更歧视
刑罚也有纠正作用，死刑更是为了威慑，如果犯人可以被治好变正常，会是更人性化的方式",2025-11-23 22:05:42,5,1,281145794737,283321537168,115579969085266,CAEiAggC
败犬cheems,4,没有控制自己的能力不代表会有主动杀伤别人的能力  精神病患者中有暴力倾向的占一部分,2025-11-24 01:15:45,1,1,281145794737,283337229872,115579969085266,CAEiAggC
少女加载中,6,"正如你会思考精神病人的犯罪处置一样, 

别人也会思考如果真这么做了会发生什么，自己会不会因为类似的理由被清除掉,  比如因为癫痫不小心打翻了一个花盆，砸死了一个人，自己进了牢里，老年痴呆因为某些原因跑到马路上导致司机规避不及，造成了七八个人的死亡惨案老人进了牢里之类的这种可能性。

在我看来精神病人是不能做到有计划的谋害, 根据精神疾病类型的不同是可以做到有效的应对，这就足够了,   我说一个假设吧, 
比精神病人犯罪更极端一些的例子,  

有一个人, 他犯罪了，他杀死了与自己有仇的另外一户的某个人, 结果当天就被逮到了，被民风彪悍的村民们抓了起来,   用砍柴刀分尸尸体喂了狗,  在这种情况下判刑一般来说不会给这些村民全都判无期徒刑，最多只能是几年缓刑，而且还是分批执行,  你觉得是为什么呢？自然是因为涉及的人太多了，虽然村民手段偏激，不具有正当性，但是由于全村的村民都调动参与了，如果把人全都抓去坐无期徒刑的牢，那么这个村子就荒废掉了，如果把村民全都抓进去相比较把村民全抓进去规避的那些风险所带来的损失是要更大的。

补充条件
村子人口为70户人
每户人具体配置为有60岁高龄老人的为35户人, 
平均70户人生育3个孩子, 
生育孩子最多的15户人口从5个到七八个不等, 
主要由家里的男性承担劳动任务, 
参与私刑的男性为村子总户口的50户",2025-11-24 04:05:50,4,1,281145794737,281460588673,115579969085266,CAEiAggC
路人甲Arm,2,个人觉得挺有道理，但社会长期发展中形成的规则，也有其必然性与合理性。我们现行法律体系是西方社会发展的产物与成果。由于我们缺乏相应的发展过程，直接跳跃到现代社会，很多法律规则都是直接拿过来用了。我们自己的法律体系，就是延续几千年之久的“王法”。这套王法体系里立法者初衷就是建立统治秩序，研究怎么治民，根本就没有什么人权平等之类，也没有什么精神异常不异常的说法。即使我们直接沿用西方现成法律规则体系有所不合理的地方，也是一个巨大的进步。当然，平等博弈下的法律规则也有缺陷。虽然保护有缺陷的相对弱势人群符合文明社会定义，但却有可能是对另外弱势人群的伤害。一个无辜路人走在路上被突发精神病人杀害，而他却不用负责，任谁都会觉得对这个路人是很不公平的。这个伤害后果是由无辜路人个人承担了，严重的是，我们每一个人都可能处在这个无辜路人的位置……,2025-11-28 16:17:34,0,1,281145794737,281840706321,115579969085266,CAEiAggC
小黑子今天挖土了吗,6,好一段时间没看罗老师了，怎么整个人沧桑了不少(´･_･`),2025-11-20 20:50:16,89,1,0,283018545264,115579969085266,CAEiAggC
J-dn_wantt-L,5,有良知的知识分子，普遍都变憔悴了,2025-11-21 05:22:40,13,1,283018545264,281175044193,115579969085266,CAEiAggC
叹an,4,店员[doge],2025-11-24 15:35:04,0,1,283018545264,281493665409,115579969085266,CAEiAggC
赞达尔壹桑博,4,好久不看罗老师了，感觉罗老师老了好多[思考],2025-11-20 17:59:03,6410,1,0,281133965489,115579969085266,CAEiAggC
柠檬果君,5,像生病了,2025-11-21 04:26:02,256,1,281133965489,281174400785,115579969085266,CAEiAggC
好久不见啊-凌轩君,6,+1,2025-11-21 04:26:15,5,1,281133965489,283045187360,115579969085266,CAEiAggC
Mr提,6,椅子问题。,2025-11-21 05:14:10,13,1,281133965489,283045852000,115579969085266,CAEiAggC
毛毛和铁锤,5,"这几期都感觉很疲惫，好像眼里也没有光了。
但讲到案例的时候，慢慢又因为自身专业专注起来，魅力依旧[爱心]",2025-11-21 08:20:14,1897,1,281133965489,281178968801,115579969085266,CAEiAggC
第一爱左,4,同感,2025-11-21 09:52:58,19,1,281133965489,283055006480,115579969085266,CAEiAggC
牛顿的梨好吃吗,4,我也想说[大哭],2025-11-21 09:55:12,6,1,281133965489,283055177104,115579969085266,CAEiAggC
天降正义古斯塔夫,6,谁在这坚持真理都是个早无,2025-11-21 17:52:26,0,1,281133965489,281218598833,115579969085266,CAEiAggC
OffbalanCe,4,罗老师支持⬆️你～,2025-11-22 17:47:26,9,1,281133965489,281314475121,115579969085266,CAEiAggC
