[2025-11-29 22:22:40,066] [INFO] CSV 文件不存在，将创建新文件
[2025-11-29 22:22:41,517] [INFO] 正在向第1页发起请求
[2025-11-29 22:22:41,964] [INFO] 第1页请求成功
[2025-11-29 22:22:41,970] [INFO] 第1页的第1条评论正在写入csv文件
[2025-11-29 22:22:41,971] [INFO] 第1页的第1条评论写入成功
[2025-11-29 22:22:43,241] [INFO] 正在向第1页的第1条评论的回复评论的第1页发起请求
[2025-11-29 22:22:43,495] [INFO] 第(1, 1, 1)页请求成功
[2025-11-29 22:22:43,498] [INFO] 第1页的第1条评论正在写入csv文件
[2025-11-29 22:22:43,500] [INFO] 第1页的第1条评论写入成功
[2025-11-29 22:22:43,501] [INFO] 第1页的第2条评论正在写入csv文件
[2025-11-29 22:22:43,505] [INFO] 第1页的第2条评论写入成功
[2025-11-29 22:22:43,507] [INFO] 第1页的第3条评论正在写入csv文件
[2025-11-29 22:22:43,508] [INFO] 第1页的第3条评论写入成功
[2025-11-29 22:22:43,509] [INFO] 第1页的第4条评论正在写入csv文件
[2025-11-29 22:22:43,510] [INFO] 第1页的第4条评论写入成功
[2025-11-29 22:22:43,511] [INFO] 第1页的第5条评论正在写入csv文件
[2025-11-29 22:22:43,511] [INFO] 第1页的第5条评论写入成功
[2025-11-29 22:22:43,512] [INFO] 第1页的第6条评论正在写入csv文件
[2025-11-29 22:22:43,513] [INFO] 第1页的第6条评论写入成功
[2025-11-29 22:22:43,514] [INFO] 第1页的第7条评论正在写入csv文件
[2025-11-29 22:22:43,514] [INFO] 第1页的第7条评论写入成功
[2025-11-29 22:22:43,516] [INFO] 第1页的第8条评论正在写入csv文件
[2025-11-29 22:22:43,516] [INFO] 第1页的第8条评论写入成功
[2025-11-29 22:22:43,518] [INFO] 第1页的第9条评论正在写入csv文件
[2025-11-29 22:22:43,518] [INFO] 第1页的第9条评论写入成功
[2025-11-29 22:22:43,519] [INFO] 第1页的第10条评论正在写入csv文件
[2025-11-29 22:22:43,520] [INFO] 第1页的第10条评论写入成功
[2025-11-29 22:22:45,554] [INFO] 正在向第1页的第1条评论的回复评论的第2页发起请求
[2025-11-29 22:22:45,824] [INFO] 第(1, 1, 2)页请求成功
[2025-11-29 22:22:45,827] [INFO] 第1页的第1条评论正在写入csv文件
[2025-11-29 22:22:45,830] [INFO] 第1页的第1条评论写入成功
[2025-11-29 22:22:45,831] [INFO] 第1页的第2条评论正在写入csv文件
[2025-11-29 22:22:45,832] [INFO] 第1页的第2条评论写入成功
[2025-11-29 22:22:45,833] [INFO] 第1页的第3条评论正在写入csv文件
[2025-11-29 22:22:45,833] [INFO] 第1页的第3条评论写入成功
[2025-11-29 22:22:45,834] [INFO] 第1页的第4条评论正在写入csv文件
[2025-11-29 22:22:45,835] [INFO] 第1页的第4条评论写入成功
[2025-11-29 22:22:45,836] [INFO] 第1页的第5条评论正在写入csv文件
[2025-11-29 22:22:45,836] [INFO] 第1页的第5条评论写入成功
[2025-11-29 22:22:45,837] [INFO] 第1页的第6条评论正在写入csv文件
[2025-11-29 22:22:45,838] [INFO] 第1页的第6条评论写入成功
[2025-11-29 22:22:45,839] [INFO] 第1页的第7条评论正在写入csv文件
[2025-11-29 22:22:45,839] [INFO] 第1页的第7条评论写入成功
[2025-11-29 22:22:45,840] [INFO] 第1页的第8条评论正在写入csv文件
[2025-11-29 22:22:45,841] [INFO] 第1页的第8条评论写入成功
[2025-11-29 22:22:45,842] [INFO] 第1页的第9条评论正在写入csv文件
[2025-11-29 22:22:45,842] [INFO] 第1页的第9条评论写入成功
[2025-11-29 22:22:45,843] [INFO] 第1页的第10条评论正在写入csv文件
[2025-11-29 22:22:45,844] [INFO] 第1页的第10条评论写入成功
[2025-11-29 22:22:48,332] [INFO] 正在向第1页的第1条评论的回复评论的第3页发起请求
[2025-11-29 22:22:48,582] [INFO] 第(1, 1, 3)页请求成功
[2025-11-29 22:22:48,585] [INFO] 第1页的第1条评论正在写入csv文件
[2025-11-29 22:22:48,586] [INFO] 第1页的第1条评论写入成功
[2025-11-29 22:22:48,588] [INFO] 第1页的第2条评论正在写入csv文件
[2025-11-29 22:22:48,589] [INFO] 第1页的第2条评论写入成功
[2025-11-29 22:22:48,589] [INFO] 第1页的第3条评论正在写入csv文件
[2025-11-29 22:22:48,590] [INFO] 第1页的第3条评论写入成功
[2025-11-29 22:22:48,591] [INFO] 第1页的第4条评论正在写入csv文件
[2025-11-29 22:22:48,592] [INFO] 第1页的第4条评论写入成功
